data_hora,poluente,valor,unidade
2026-07-22 10:00,MP2.5,16,ug/m3
2026-07-22 11:00,MP2.5,20,ug/m3
2026-07-22 12:00,MP2.5,9,ug/m3
2026-07-22 13:00,MP2.5,5,ug/m3
2026-07-22 14:00,MP2.5,7,ug/m3
2026-07-22 15:00,MP2.5,12,ug/m3
2026-07-22 16:00,MP2.5,18,ug/m3
2026-07-22 17:00,MP2.5,26,ug/m3
2026-07-22 18:00,MP2.5,24,ug/m3
2026-07-22 19:00,MP2.5,6,ug/m3
2026-07-22 20:00,MP2.5,8,ug/m3
2026-07-22 21:00,MP2.5,9,ug/m3
2026-07-22 22:00,MP2.5,8,ug/m3
2026-07-22 23:00,MP2.5,9,ug/m3
2026-07-23 00:00,MP2.5,12,ug/m3
2026-07-23 01:00,MP2.5,4,ug/m3
2026-07-23 02:00,MP2.5,10,ug/m3
2026-07-23 03:00,MP2.5,7,ug/m3
2026-07-23 04:00,MP2.5,11,ug/m3
2026-07-23 05:00,MP2.5,2,ug/m3
2026-07-23 06:00,MP2.5,0,ug/m3
2026-07-23 07:00,MP2.5,10,ug/m3
2026-07-23 08:00,MP2.5,5,ug/m3
2026-07-23 09:00,MP2.5,9,ug/m3
2026-07-23 10:00,MP2.5,10,ug/m3
2026-07-23 11:00,MP2.5,19,ug/m3
2026-07-23 12:00,MP2.5,5,ug/m3
2026-07-23 13:00,MP2.5,14,ug/m3
2026-07-23 14:00,MP2.5,9,ug/m3
2026-07-23 15:00,MP2.5,13,ug/m3
2026-07-23 16:00,MP2.5,6,ug/m3
2026-07-23 17:00,MP2.5,5,ug/m3
2026-07-23 18:00,MP2.5,19,ug/m3
2026-07-23 19:00,MP2.5,9,ug/m3
2026-07-23 20:00,MP2.5,14,ug/m3
2026-07-23 21:00,MP2.5,6,ug/m3
2026-07-23 22:00,MP2.5,9,ug/m3
2026-07-23 23:00,MP2.5,5,ug/m3
2026-07-24 00:00,MP2.5,5,ug/m3
2026-07-24 01:00,MP2.5,1,ug/m3
